num_prefill_tokens,num_decode_tokens,agent,dep,tokens
1309,173,0,[],"[200006, 77944, 200008, 2, 68406, 279, 3575, 553, 2966, 316, 43360, 326, 334, 65322, 13638, 364, 200007, 200006, 1428, 200008, 3575, 1309, 316, 12648, 290, 4335, 5296, 1511, 793, 3834, 53299, 7065, 316, 290, 13816, 2839, 306, 290, 3566, 558, 976, 3100, 328, 290, 5296, 382, 1402, 2900, 177016, 49377, 290, 3992, 29502, 25, 220, 172, 240, 238, 250, 220, 220, 172, 240, 238, 238, 172, 240, 238, 248, 279, 2500, 382, 261, 2086, 7582, 2360, 290, 28655, 101543, 313, 1200, 25217, 378, 34783, 1200, 2086, 2420, 326, 27328, 483, 336, 3986, 1200, 274, 2561, 11633, 13, 15629, 495, 2086, 1511, 57978, 9076, 1288, 472, 261, 26964, 2086, 558, 2900, 105090, 279, 5632, 553, 1236, 6623, 2164, 1078, 290, 5296, 1402, 27022, 104259, 2694, 99822, 169349, 94270, 14572, 5135, 457, 30637, 52050, 5121, 5436, 7116, 3203, 174789, 11, 21371, 182884, 67758, 13, 19461, 112742, 353, 47176, 8734, 8033, 182884, 30962, 6178, 112742, 7116, 104259, 8734, 8033, 3203, 174789, 558, 2900, 177016, 8505, 198, 2900, 105090, 279, 41463, 553, 290, 2839, 13816, 11, 4335, 306, 290, 6011, 464, 1240, 62606, 464, 9186, 29, 364, 2900, 177016, 27, 39398, 31088, 21, 62606, 27, 32, 10297, 29186, 484, 665, 3684, 290, 1880, 11, 13424, 53556, 3100, 11, 66687, 10327, 10370, 11, 326, 31053, 12331, 2164, 13, 62606, 27, 30616, 25, 3684, 95334, 11, 3684, 3567, 5368, 11, 3684, 3567, 5368, 3067, 26422, 11, 3684, 81741, 3276, 54968, 5342, 11, 13424, 61043, 16500, 11, 28248, 6236, 11, 3810, 67587, 138995, 44960, 523, 27, 26568, 34216, 18, 62606, 27, 32, 10297, 29186, 484, 665, 2273, 261, 7968, 328, 2698, 326, 13571, 13427, 11, 3463, 17625, 11, 6806, 87, 11, 7493, 11, 11065, 11, 326, 3823, 11, 5178, 13, 62606, 27, 30616, 25, 13424, 61043, 16500, 11, 3810, 67587, 138995, 10607, 11, 3810, 67587, 138995, 67826, 11, 3810, 67587, 138995, 44960, 11, 15792, 8330, 523, 27, 39739, 35205, 19, 62606, 27, 32, 10297, 29186, 484, 50847, 306, 57927, 11, 22458, 11, 326, 12323, 19383, 6291, 13, 5551, 11, 480, 6284, 3158, 290, 6179, 316, 3684, 395, 2164, 13, 1843, 290, 5296, 10860, 22752, 20860, 11, 480, 1757, 413, 21254, 316, 15792, 290, 3490, 1934, 5281, 480, 13, 62606, 27, 30616, 25, 15792, 8330, 11, 13424, 123860, 16500, 11, 13424, 61043, 16500, 3037, 2900, 105090, 279, 3575, 2804, 622, 290, 25091, 9523, 306, 290, 6011, 328, 261, 93194, 1562, 3518, 464, 53299, 29, 16613, 11, 472, 10147, 4895, 1402, 27, 53299, 523, 27, 15921, 29, 3638, 15921, 220, 16, 808, 15921, 523, 27, 15921, 29, 3638, 15921, 220, 17, 808, 15921, 523, 808, 53299, 3037, 637, 290, 1721, 1543, 15921, 11, 481, 1757, 45615, 7118, 290, 4756, 4792, 1511, 261, 3582, 6011, 316, 1632, 290, 11793, 316, 1520, 290, 1721, 6052, 1078, 290, 4756, 4792, 558, 18683, 11, 538, 261, 5296, 10860, 57927, 503, 3490, 13986, 326, 2226, 625, 25222, 402, 12229, 7124, 350, 68, 1940, 4213, 1880, 3684, 936, 13460, 7116, 334, 65322, 290, 57927, 503, 3490, 13986, 997, 13, 21050, 11, 2867, 379, 326, 28801, 290, 6508, 57927, 503, 3490, 13986, 997, 558, 5958, 261, 5296, 23856, 7124, 8235, 3100, 350, 35662, 472, 80232, 11, 38252, 11, 503, 106694, 2164, 936, 19297, 2804, 1199, 290, 3684, 4584, 316, 31053, 869, 6487, 26089, 326, 107087, 11525, 395, 34496, 13, 2439, 14281, 484, 290, 2359, 802, 6217, 7124, 1340, 413, 59391, 503, 94365, 11, 813, 480, 1757, 625, 413, 29810, 70206, 7557, 13, 4886, 124780, 328, 25091, 9523, 2804, 45615, 12140, 495, 11, 575, 2560, 13, 481, 1757, 1147, 25091, 9523, 316, 45615, 25145, 290, 12331, 2164, 591, 1880, 3684, 827, 31053, 290, 2164, 2360, 3684, 4584, 11, 5178, 364, 5958, 22415, 261, 5296, 11, 481, 1309, 316, 11433, 5588, 480, 1757, 413, 11121, 2360, 3490, 20860, 7665, 328, 5983, 23541, 41570, 4584, 30722, 13, 58435, 11, 1261, 261, 5296, 23856, 50414, 261, 4410, 2086, 328, 146872, 503, 8012, 1238, 12323, 11, 2360, 7024, 8437, 3572, 413, 130986, 503, 1952, 87318, 195692, 13, 730, 2238, 7911, 11, 19297, 1757, 5067, 26534, 3490, 350, 2056, 6396, 34098, 1299, 13782, 11, 29365, 73795, 11, 41942, 11, 5178, 8476, 316, 90080, 290, 2273, 13, 7306, 553, 1236, 42318, 1919, 2360, 3490, 382, 290, 20146, 7139, 734, 16, 13, 86043, 39241, 3158, 316, 261, 4410, 2086, 328, 146872, 13, 24855, 25, 392, 5299, 1991, 4238, 673, 261, 10462, 67857, 1926, 48618, 472, 261, 9682, 402, 7725, 26487, 8537, 395, 2454, 2163, 328, 7940, 306, 290, 2174, 7843, 220, 1323, 18, 17980, 328, 290, 8537, 16842, 57369, 25, 3265, 2346, 19141, 2454, 26487, 3011, 1481, 413, 8916, 130986, 11, 2049, 26534, 3490, 665, 119647, 12011, 326, 2273, 290, 3759, 1238, 558, 17, 13, 4833, 12323, 26065, 8012, 54280, 503, 48742, 13, 24855, 25, 392, 107202, 722, 5787, 22517, 402, 143881, 5984, 306, 7561, 220, 1323, 19, 326, 1646, 290, 2344, 220, 702, 1645, 18728, 51667, 29778, 3692, 57369, 25, 1328, 5296, 10860, 12323, 261, 4410, 4527, 328, 2201, 1238, 11, 1118, 382, 1636, 29594, 2193, 184532, 558, 18, 13, 17070, 8618, 195694, 2164, 591, 7598, 1238, 11525, 13, 24855, 25, 392, 102185, 722, 2344, 10043, 591, 67662, 306, 290, 4241, 1284, 326, 12221, 1373, 483, 143881, 5984, 2344, 10604, 316, 1646, 290, 22378, 13883, 8104, 3692, 57369, 25, 623, 5296, 23856, 92377, 326, 42171, 1238, 591, 2647, 18921, 11, 4137, 15203, 96113, 30234, 66976, 558, 19, 13, 907, 9456, 4171, 5703, 13638, 13, 24855, 25, 392, 4383, 722, 6086, 306, 261, 36911, 27052, 23229, 326, 3605, 1495, 1991, 10232, 290, 26463, 461, 7506, 6, 3692, 57369, 25, 24464, 1365, 1819, 261, 4410, 2086, 328, 6086, 382, 1636, 29594, 483, 261, 11713, 558, 3335, 290, 5296, 4414, 5281, 3490, 11, 621, 625, 13814, 316, 22944, 290, 11793, 316, 15792, 290, 7582, 3490, 11, 326, 3019, 290, 1534, 1934, 58913, 290, 3490, 364, 12253, 553, 1236, 6623, 9858, 395, 481, 734, 12, 28667, 4275, 625, 261, 2804, 11, 481, 1757, 2075, 634, 1636, 6942, 316, 1520, 2454, 1543, 15921, 118877, 395, 261, 22682, 558, 12, 1608, 4128, 1309, 316, 45615, 8633, 1412, 8437, 316, 1199, 326, 1412, 13816, 316, 1199, 306, 290, 25091, 9523, 11, 1327, 1632, 290, 11793, 13001, 1412, 316, 621, 558, 12, 4886, 57661, 25082, 25091, 9523, 1757, 413, 5364, 326, 19230, 11, 2935, 1062, 154576, 13, 623, 25091, 9523, 1757, 3324, 413, 20434, 483, 290, 10705, 5296, 558, 12, 1608, 1309, 316, 6852, 8800, 10266, 290, 2086, 328, 25091, 9523, 7065, 316, 290, 10331, 328, 290, 10705, 5296, 13, 1843, 290, 10705, 5296, 382, 8012, 11, 481, 1757, 334, 65322, 480, 1511, 945, 25091, 9523, 13, 33987, 11, 481, 1757, 334, 65322, 480, 1511, 3760, 25091, 9523, 350, 68, 1940, 13, 220, 17, 12, 18, 25091, 9523, 6294, 12, 3274, 553, 1236, 47388, 10331, 484, 6284, 413, 28446, 306, 1001, 5983, 13, 2214, 4994, 11, 472, 395, 290, 4928, 392, 4827, 382, 290, 10562, 5517, 306, 29514, 328, 3004, 13, 24, 306, 290, 1577, 6743, 98967, 4022, 402, 1608, 13151, 484, 673, 4862, 9917, 7065, 316, 290, 139188, 12352, 115479, 3438, 30, 6214, 3644, 290, 2086, 21161, 1225, 382, 19786, 316, 8516, 1646, 392, 3160, 13, 24, 306, 290, 1577, 6743, 98967, 4022, 402, 1608, 13151, 1, 591, 29810, 1880, 3684, 13, 623, 11081, 2006, 382, 316, 1577, 1646, 290, 6743, 98967, 39217, 9334, 11, 326, 1815, 1646, 290, 1577, 6743, 98967, 4022, 350, 17615, 8, 402, 1608, 13151, 11, 326, 1815, 5621, 290, 3823, 316, 1646, 290, 10006, 166779, 11, 1815, 810, 316, 139188, 12352, 115479, 3438, 316, 6544, 31053, 290, 2164, 558, 12, 1843, 290, 5296, 66396, 1236, 11525, 350, 68, 1940, 13, 38037, 11, 11444, 1218, 3490, 11, 7867, 11, 5178, 36196, 2164, 5801, 1757, 413, 20344, 402, 290, 21824, 3438, 558, 12, 1608, 1757, 1147, 261, 1543, 15921, 316, 14866, 290, 23448, 6052, 13, 623, 19297, 1757, 2075, 1273, 6984, 316, 14866, 290, 6052, 11, 319, 1940, 13, 2360, 2647, 8437, 558, 200007, 200006, 173781, 200005, 17196, 200008, 27, 53299, 523, 27, 15921, 29, 38025, 290, 28655, 101543, 313, 1200, 25217, 378, 34783, 1200, 2086, 2420, 326, 336, 3986, 1200, 274, 2561, 11633, 29502, 316, 4218, 1043, 57979, 4824, 326, 1495, 1023, 553, 2061, 316, 5188, 8663, 8582, 15921, 523, 27, 15921, 29, 137099, 290, 57979, 4824, 328, 290, 4335, 29502, 220, 172, 240, 238, 250, 326, 220, 172, 240, 238, 238, 172, 240, 238, 248, 306, 290, 28655, 101543, 313, 1200, 25217, 378, 34783, 1200, 2086, 2420, 8582, 15921, 523, 27, 15921, 29, 18702, 290, 17800, 57979, 4824, 591, 290, 28655, 101543, 313, 1200, 25217, 378, 34783, 1200, 2086, 2420, 1511, 57978, 9076, 1288, 472, 261, 26964, 2086, 8582, 15921, 523, 27, 15921, 29, 37762, 290, 28358, 57978, 191907, 656, 8088, 8618, 195694, 483, 3613, 15048, 4256, 503, 2595, 316, 6757, 18580, 8582, 15921, 523, 27, 15921, 29, 94272, 290, 1721, 6052, 656, 52212, 290, 57978, 191907, 23458, 328, 290, 4335, 28655, 101543, 313, 1200, 25217, 378, 34783, 1200, 2086, 8582, 15921, 523, 808, 53299, 29, 200002]"
589,96,1,[0],"[200006, 17360, 200008, 3575, 553, 17554, 162016, 11, 261, 4410, 6439, 2359, 22203, 656, 7788, 17527, 558, 87447, 100594, 25, 220, 1323, 19, 12, 3218, 198, 6576, 3521, 25, 220, 1323, 21, 12, 3000, 12, 3000, 279, 30377, 289, 25, 14093, 279, 2, 13888, 18403, 25, 8450, 11, 49159, 11, 1721, 13, 21030, 2804, 413, 7360, 395, 1753, 3176, 558, 63446, 316, 1879, 8437, 2804, 810, 316, 290, 49159, 9334, 25, 461, 44580, 6120, 200007, 200006, 77944, 200008, 2, 20574, 279, 877, 9964, 279, 4797, 9964, 95359, 6318, 3322, 483, 261, 10185, 5701, 6011, 558, 2493, 622, 20405, 21978, 314, 11350, 25, 10168, 623, 4170, 328, 290, 41844, 484, 382, 21482, 316, 290, 5296, 16547, 456, 78225, 1537, 25, 1621, 412, 9263, 871, 1062, 502, 92, 602, 9819, 9964, 200007, 200006, 17360, 200008, 3575, 553, 93594, 261, 3566, 328, 13816, 13, 355, 22682, 665, 413, 261, 3566, 328, 19297, 503, 261, 4590, 11793, 13, 11555, 22682, 382, 5371, 316, 17722, 261, 4857, 3675, 328, 5296, 13, 4886, 3349, 6664, 123177, 13638, 316, 261, 9595, 22682, 11, 9278, 261, 620, 22682, 395, 261, 5296, 11, 5178, 13, 200007, 200006, 1428, 200008, 3575, 1309, 316, 14975, 290, 5296, 316, 261, 22682, 4596, 558, 976, 3100, 328, 290, 5296, 382, 1402, 2900, 177016, 38025, 290, 28655, 101543, 313, 1200, 25217, 378, 34783, 1200, 2086, 2420, 326, 336, 3986, 1200, 274, 2561, 11633, 29502, 316, 4218, 1043, 57979, 4824, 326, 1495, 1023, 553, 2061, 316, 5188, 8663, 558, 2900, 105090, 279, 12253, 553, 1236, 6623, 2164, 1078, 290, 5296, 1402, 27022, 104259, 2694, 99822, 169349, 94270, 14572, 5135, 457, 30637, 52050, 5121, 5436, 7116, 3203, 174789, 11, 21371, 182884, 67758, 13, 19461, 112742, 353, 47176, 8734, 8033, 182884, 30962, 6178, 112742, 7116, 104259, 8734, 8033, 3203, 174789, 558, 2900, 177016, 8505, 198, 2900, 105090, 279, 41463, 382, 290, 2164, 328, 290, 9595, 22682, 15749, 13, 623, 6011, 382, 464, 1240, 62606, 27, 9186, 62606, 27, 69631, 6744, 29, 364, 2900, 177016, 27, 39398, 31088, 21, 62606, 27, 32, 10297, 29186, 484, 665, 3684, 290, 1880, 11, 13424, 53556, 3100, 11, 66687, 10327, 10370, 11, 326, 31053, 12331, 2164, 13, 62606, 27, 30616, 25, 3684, 95334, 11, 3684, 3567, 5368, 11, 3684, 3567, 5368, 3067, 26422, 11, 3684, 81741, 3276, 54968, 5342, 11, 13424, 61043, 16500, 11, 28248, 6236, 11, 3810, 67587, 138995, 44960, 523, 27, 26568, 34216, 18, 62606, 27, 32, 10297, 29186, 484, 665, 2273, 261, 7968, 328, 2698, 326, 13571, 13427, 11, 3463, 17625, 11, 6806, 87, 11, 7493, 11, 11065, 11, 326, 3823, 11, 5178, 13, 62606, 27, 30616, 25, 13424, 61043, 16500, 11, 3810, 67587, 138995, 10607, 11, 3810, 67587, 138995, 67826, 11, 3810, 67587, 138995, 44960, 11, 15792, 8330, 523, 27, 39739, 35205, 19, 62606, 27, 32, 10297, 29186, 484, 50847, 306, 57927, 11, 22458, 11, 326, 12323, 19383, 6291, 13, 5551, 11, 480, 6284, 3158, 290, 6179, 316, 3684, 395, 2164, 13, 1843, 290, 5296, 10860, 22752, 20860, 11, 480, 1757, 413, 21254, 316, 15792, 290, 3490, 1934, 5281, 480, 13, 62606, 27, 30616, 25, 15792, 8330, 11, 13424, 123860, 16500, 11, 13424, 61043, 16500, 3037, 2900, 105090, 279, 3575, 2804, 622, 290, 4170, 328, 290, 22682, 4596, 484, 481, 2411, 382, 1645, 18777, 328, 5306, 290, 5296, 558, 3335, 2208, 1543, 15921, 4414, 57927, 503, 22458, 11, 326, 290, 1543, 15921, 382, 625, 7168, 316, 50414, 12229, 7124, 350, 68, 1940, 13, 17437, 290, 6179, 936, 481, 1757, 1632, 290, 22682, 4596, 483, 5532, 57927, 503, 22458, 31631, 316, 621, 480, 13, 793, 200007, 200006, 173781, 200005, 35644, 200008, 2167, 1309, 316, 14975, 5296, 25, 4176, 28655, 101543, 313, 1200, 25217, 378, 34783, 1200, 2086, 2420, 326, 336, 3986, 1200, 274, 2561, 11633, 29502, 11, 4218, 57979, 4824, 326, 22311, 13, 1328, 10860, 12229, 7124, 11, 6960, 1880, 3684, 13, 59956, 220, 39398, 31088, 21, 853, 1880, 3684, 8437, 13, 2632, 14975, 316, 484, 13, 6318, 8205, 483, 1680, 78225, 1537, 13, 200007, 200006, 173781, 200005, 12606, 815, 316, 28, 44580, 32620, 20405, 21978, 220, 200003, 4108, 200008, 745, 220, 392, 456, 78225, 1537, 1243, 392, 39398, 31088, 21, 1092, 92, 200012]"
1460,51,2,[1],"[200006, 77944, 200008, 2, 68406, 2499, 3575, 553, 261, 10297, 29186, 484, 665, 3684, 290, 1880, 11, 13424, 53556, 3100, 11, 66687, 10327, 10370, 11, 326, 3587, 12331, 2164, 316, 17722, 290, 4335, 5296, 558, 25627, 306, 4246, 484, 734, 12, 3756, 625, 413, 65677, 21716, 306, 634, 2316, 7124, 13, 124801, 665, 3587, 261, 50568, 18418, 326, 1652, 14986, 9595, 7124, 13, 4066, 12, 1843, 1001, 2006, 28336, 316, 3587, 448, 6052, 11, 2075, 1273, 6984, 503, 7933, 13, 623, 6052, 2226, 13031, 558, 12, 1843, 290, 3684, 88814, 382, 537, 11283, 1500, 889, 290, 9206, 5124, 591, 448, 107087, 4256, 11, 2075, 4030, 290, 3438, 395, 945, 4878, 13, 4066, 12, 4296, 3778, 395, 4857, 57979, 4824, 350, 68, 1940, 4213, 22678, 22586, 936, 90916, 15048, 11525, 326, 8397, 64139, 1606, 402, 3684, 130631, 13, 4066, 12, 4296, 37367, 13638, 484, 1841, 1880, 43167, 11, 2371, 26487, 1577, 2254, 29457, 1273, 12162, 13, 4066, 12, 1608, 665, 1217, 66687, 10327, 10370, 316, 717, 945, 2164, 503, 14866, 290, 2164, 481, 679, 2491, 558, 12, 28835, 30937, 382, 1217, 10297, 395, 12129, 3783, 67852, 13, 28835, 30937, 12084, 621, 625, 23517, 1309, 316, 1646, 4857, 14716, 11, 889, 665, 1217, 1652, 1646, 1880, 3011, 67852, 484, 10232, 14716, 350, 77091, 6541, 316, 1646, 1819, 4705, 1880, 43167, 741, 1608, 665, 1646, 290, 6052, 316, 290, 4928, 656, 22415, 29068, 12084, 402, 290, 9206, 11, 2238, 472, 117088, 290, 3100, 328, 290, 53556, 558, 12, 3756, 625, 29810, 25222, 402, 3213, 8437, 503, 10327, 30937, 316, 1646, 290, 6052, 11, 481, 1757, 21700, 3213, 8437, 326, 10327, 30937, 316, 13576, 130352, 2273, 1880, 3011, 2164, 13, 6083, 3100, 1340, 1309, 316, 621, 10327, 30937, 316, 717, 11, 503, 1236, 3100, 382, 44923, 656, 79013, 558, 12, 730, 634, 3322, 11, 481, 1757, 8633, 290, 63647, 481, 679, 18416, 326, 23478, 364, 12253, 553, 1236, 9858, 484, 1652, 481, 3347, 1880, 3684, 734, 12, 28741, 1147, 3101, 1991, 29778, 306, 634, 3684, 5703, 0, 6083, 14633, 4376, 1309, 316, 3347, 10327, 22391, 316, 717, 11, 625, 2360, 3684, 116928, 558, 12, 1843, 290, 4928, 382, 8012, 11, 3684, 4376, 13729, 621, 625, 3587, 31687, 14716, 13, 1225, 382, 625, 6960, 316, 1646, 290, 6052, 8516, 2360, 3684, 116928, 1606, 11, 290, 3684, 5703, 1757, 413, 82463, 326, 26671, 402, 12129, 7313, 11525, 7542, 1572, 2823, 14716, 558, 220, 2214, 4994, 11, 472, 395, 290, 4928, 392, 4827, 382, 290, 10562, 5517, 306, 29514, 328, 1069, 24, 306, 290, 1577, 6743, 98967, 4022, 402, 1608, 13151, 484, 673, 4862, 9917, 7065, 316, 290, 139188, 12352, 115479, 3438, 58900, 634, 1577, 3684, 2914, 2804, 413, 81371, 18511, 3883, 1299, 392, 40005, 98967, 1608, 13151, 1, 316, 1646, 290, 38037, 3438, 1577, 11, 326, 1815, 2075, 1273, 8975, 18511, 3883, 3684, 5941, 5983, 23541, 41570, 316, 1646, 945, 63647, 558, 12, 623, 4376, 481, 622, 621, 625, 679, 316, 8516, 6052, 290, 4756, 4928, 11, 481, 1606, 1309, 316, 7916, 12331, 2164, 8525, 2, 20574, 279, 877, 9964, 279, 4797, 9964, 95359, 7649, 5800, 3684, 6018, 316, 3684, 2164, 395, 290, 4335, 5703, 558, 2493, 3684, 95334, 314, 11350, 25, 10168, 623, 5703, 316, 413, 43852, 558, 2975, 25, 1621, 20046, 623, 2086, 328, 1534, 8537, 316, 31053, 558, 4571, 11623, 52628, 25, 2086, 412, 9263, 871, 1062, 20544, 10497, 290, 9481, 306, 52656, 47, 5435, 326, 622, 290, 18522, 328, 290, 198, 12919, 3011, 11, 15683, 106694, 2164, 1078, 198, 271, 290, 4335, 9481, 558, 2493, 3684, 3567, 5368, 314, 11350, 25, 10168, 623, 9481, 316, 413, 43852, 558, 5812, 25, 1621, 412, 9263, 871, 1062, 20544, 2942, 290, 85725, 328, 261, 26487, 9481, 306, 261, 4335, 2944, 11, 622, 290, 44616, 4666, 558, 2493, 3684, 3567, 5368, 3067, 26422, 314, 11350, 25, 10168, 290, 1308, 328, 290, 26487, 9481, 11, 319, 1940, 13, 392, 82255, 28482, 1092, 5812, 25, 1621, 20046, 290, 1284, 11, 319, 1940, 13, 220, 1323, 17, 198, 5682, 25, 2086, 20046, 290, 2944, 11, 319, 1940, 13, 220, 899, 198, 18648, 25, 2086, 412, 9263, 871, 1062, 20544, 29844, 261, 4666, 11, 3684, 290, 2006, 2205, 7342, 326, 7377, 290, 81026, 3926, 328, 290, 4666, 395, 261, 4335, 3521, 558, 2493, 3684, 81741, 3276, 54968, 5342, 314, 11350, 25, 10168, 623, 4666, 316, 3684, 395, 558, 1804, 25, 1621, 20046, 623, 3521, 316, 3684, 395, 13, 623, 6011, 1757, 413, 135897, 12365, 9661, 558, 1319, 25, 1621, 412, 9263, 871, 1062, 20544, 39239, 290, 3100, 328, 261, 4335, 3213, 350, 267, 4666, 8, 326, 622, 290, 23478, 2201, 558, 3206, 1340, 6690, 842, 1236, 2164, 11, 20547, 306, 94365, 3100, 558, 2493, 13424, 61043, 16500, 314, 11350, 25, 10168, 623, 3104, 328, 290, 3213, 316, 413, 23478, 11, 4784, 261, 2698, 3104, 503, 261, 9206, 13, 1225, 665, 2273, 3621, 11, 11065, 6291, 11, 16216, 6291, 326, 146872, 11, 5178, 558, 11557, 5558, 25, 1621, 20046, 623, 5703, 316, 413, 2061, 395, 104762, 290, 3100, 13, 1843, 290, 3100, 382, 3101, 1701, 11, 290, 5703, 738, 413, 2061, 316, 11410, 1118, 997, 8895, 290, 12331, 2164, 350, 9995, 460, 2971, 741, 623, 5703, 1757, 413, 20434, 483, 290, 2208, 5296, 558, 2975, 25, 1621, 412, 9263, 871, 1062, 20544, 355, 11629, 116928, 1118, 665, 66687, 290, 10327, 22391, 316, 17722, 290, 5296, 1118, 4414, 12151, 41570, 10370, 558, 2493, 28248, 6236, 314, 11350, 25, 10168, 623, 5296, 15226, 316, 17722, 558, 15921, 157118, 25, 1621, 20046, 623, 1604, 9206, 316, 4030, 558, 5236, 6236, 25, 1621, 412, 9263, 871, 1062, 20544, 23600, 261, 4928, 1078, 290, 3823, 558, 2493, 3810, 67587, 138995, 44960, 314, 11350, 25, 10168, 623, 3104, 316, 290, 3823, 1974, 558, 17615, 5558, 25, 1621, 20046, 623, 4928, 316, 3810, 1078, 290, 3823, 558, 14921, 25, 1621, 412, 9263, 871, 1062, 20544, 6318, 3322, 483, 261, 10185, 5701, 6011, 558, 2493, 622, 20405, 21978, 314, 11350, 25, 10168, 623, 1534, 328, 290, 5296, 16547, 3252, 25, 1621, 20046, 40343, 34700, 5588, 290, 5296, 12323, 9363, 16547, 33814, 25, 3870, 412, 9263, 871, 1062, 502, 92, 602, 9819, 9964, 200007, 200006, 1428, 200008, 2167, 553, 37367, 261, 8012, 5296, 11, 326, 581, 679, 12648, 290, 5296, 1511, 4919, 25091, 9523, 558, 1944, 3575, 1309, 316, 2273, 1001, 4335, 5296, 13, 19666, 19429, 484, 290, 4792, 382, 3975, 123669, 13, 623, 6052, 2226, 4310, 13, 1843, 481, 8535, 17722, 290, 5296, 11, 4843, 12886, 290, 5207, 326, 290, 1534, 481, 679, 23088, 306, 10851, 558, 976, 3100, 328, 290, 5296, 484, 481, 1309, 316, 621, 382, 1402, 27, 15921, 523, 38025, 290, 28655, 101543, 313, 1200, 25217, 378, 34783, 1200, 2086, 2420, 326, 336, 3986, 1200, 274, 2561, 11633, 29502, 316, 4218, 1043, 57979, 4824, 326, 1495, 1023, 553, 2061, 316, 5188, 8663, 558, 808, 15921, 523, 1944, 12253, 382, 290, 10705, 5296, 395, 9682, 11, 1118, 8895, 1236, 10297, 2164, 484, 665, 1652, 481, 17722, 290, 5296, 1402, 27, 159046, 27167, 523, 49377, 290, 3992, 29502, 25, 220, 172, 240, 238, 250, 220, 220, 172, 240, 238, 238, 172, 240, 238, 248, 279, 2500, 382, 261, 2086, 7582, 2360, 290, 28655, 101543, 313, 1200, 25217, 378, 34783, 1200, 2086, 2420, 326, 27328, 483, 336, 3986, 1200, 274, 2561, 11633, 13, 15629, 495, 2086, 1511, 57978, 9076, 1288, 472, 261, 26964, 2086, 558, 808, 159046, 27167, 3037, 12253, 553, 4376, 328, 1236, 141483, 4376, 484, 481, 665, 6716, 316, 350, 6857, 538, 1354, 553, 860, 141483, 4376, 15626, 27, 134568, 31049, 6744, 3037, 808, 134568, 31049, 6744, 3037, 12253, 553, 1236, 6623, 2164, 1078, 290, 5296, 350, 7393, 395, 9682, 11, 326, 1340, 413, 8213, 1883, 27, 69631, 6744, 523, 8505, 198, 808, 69631, 6744, 3037, 10620, 4843, 9637, 48255, 290, 2164, 5151, 11, 2075, 634, 1636, 316, 48255, 290, 9595, 4376, 326, 634, 2839, 8437, 316, 17722, 290, 2208, 5296, 364, 3335, 481, 1309, 316, 5067, 3490, 11, 3779, 10419, 3490, 1299, 392, 18582, 3490, 672, 634, 3490, 1757, 413, 9141, 150488, 326, 3741, 316, 9637, 17722, 290, 5296, 13, 6311, 5281, 290, 3490, 11, 481, 2804, 15792, 290, 3490, 558, 3335, 481, 553, 2966, 316, 2273, 2698, 6291, 11, 481, 1757, 45615, 8633, 722, 290, 23478, 1974, 3104, 350, 58447, 48182, 6291, 306, 16216, 6291, 8, 306, 634, 6052, 316, 1632, 1273, 13816, 1761, 1919, 316, 1646, 290, 1974, 558, 3335, 481, 1646, 290, 1543, 15921, 382, 328, 860, 1652, 316, 5533, 290, 10705, 5296, 4122, 402, 290, 2164, 481, 20480, 11, 481, 1757, 1520, 290, 1543, 15921, 9363, 11, 326, 622, 634, 38415, 395, 290, 2613, 5983, 13, 350, 68, 1940, 13, 481, 553, 7747, 316, 13424, 290, 3100, 328, 290, 3213, 11, 889, 290, 3213, 382, 3101, 1701, 13, 1225, 382, 3432, 316, 5067, 22752, 3490, 316, 2273, 480, 8, 200007, 200006, 173781, 200005, 12606, 815, 316, 28, 44580, 16718, 3567, 5368, 220, 200003, 4108, 200008, 10848, 5812, 1243, 392, 108766, 34783, 1200, 2086, 2420, 18583, 200012, 200006, 173781, 200005, 12606, 815, 316, 28, 44580, 16718, 3567, 5368, 220, 200003, 4108, 200008, 10848, 5812, 1243, 392, 50, 3986, 1200, 274, 2561, 11633, 18583, 200012]"
